,Unnamed: 0,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
26,2251939,0,FORMOSA FOUNDATION,Political Scientists,FOREIGN POLICY (TAIWAN) RESEARCHER,Y,41500.0,2012.0,"LOS ANGELES, CALIFORNIA",-118.24368490000002,34.0522342
27,1814599,1,TELLIGEN,"Software Developers, Systems Software",TECHNICAL LEAD,Y,97760.0,2013.0,"WEST DES MOINES, IOWA",-93.711332,41.5772115
28,2213494,1,"BUNNDLE, INC.","Software Developers, Applications",SOFTWARE ENGINEER,Y,84802.0,2013.0,"PALO ALTO, CALIFORNIA",-122.14301950000001,37.441883399999995
29,2644,0,LTN INDUSTRIES,ADVERTISING AND PROMOTIONS MANAGERS,ADVERTISING PROMOTIONS MANAGER,N,44158.0,2016.0,"HOUSTON, TEXAS",-95.36980279999999,29.7604267
30,2164984,0,YOUNGSTOWN STATE UNIVERSITY.,"Engineering Teachers, Postsecondary",INSTRUCTOR,Y,34344.0,2013.0,"YOUNGSTOWN, OHIO",-80.6495194,41.0997803
31,2586867,0,BAYSHORE GLOBAL MANAGEMENT LLC,Financial Managers,CHIEF INVESTMENT OFFICER,Y,378343680.0,2012.0,"LOS ALTOS, CALIFORNIA",-122.1141298,37.3852183
32,1618355,1,"CISCO SYSTEMS, INC.","Computer Occupations, All Other",ENGINEERING ARCHITECT,Y,102794.0,2014.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
33,1507682,1,"ILLUMINA, INC.","Biological Scientists, All Other",BIOINFORMATICS SCIENTIST 1,Y,83346.0,2014.0,"REDWOOD CITY, CALIFORNIA",-122.2363548,37.4852152
34,1212322,1,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,COMPUTER SYSTEMS ANALYSTS,SENIOR SYSTEMS ANALYST JC60,Y,75421.0,2015.0,"SAN RAMON, CALIFORNIA",-121.9780153,37.7799273
35,2978531,0,INSTANATIVE LLC,General and Operations Managers,OPERATIONS MANAGER,Y,51189.0,2011.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
36,153906,1,"QUANTUM INTEGRATORS GROUP , LLC",COMPUTER SYSTEMS ANALYSTS,SYSTEMS ANALYST,N,62192.0,2016.0,"HAMILTON, NEW JERSEY",-74.6796651,40.2115109
37,1688604,1,INFOSYS LIMITED,Management Analysts,SENIOR ASSOCIATE - BUSINESS CONSULTING,Y,94328.0,2014.0,"BELLEVUE, WASHINGTON",-122.2015159,47.6101497
38,2880922,1,QS PHARMA LLC,Chemists,ANALYTICAL CHEMIST,Y,51334.0,2011.0,"BOOTHWYN, PENNSYLVANIA",-75.4415843,39.8301125
39,53031,0,"IBOSS, INC","BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",BILLING OPERATIONS ANALYST,N,43597.0,2016.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
40,2184796,1,VERINON TECHNOLOGY SOLUTIONS LTD.,"Computer Occupations, All Other",QUALITY ASSURANCE ENGINEER,Y,59738.0,2013.0,"ARLINGTON HEIGHTS, ILLINOIS",-87.9806265,42.0883603
41,502754,0,JUST IN TIME RESOURCES,"COMPUTER OCCUPATIONS, ALL OTHER",MANAGER OF SOLUTIONS,Y,106995.0,2016.0,"GLEN ELLYN, ILLINOIS",-88.0670118,41.87752929999999
42,2704814,0,"SHAREPOINT360, LLC",Accountants,ACCOUNTANT,Y,46072.0,2011.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
43,2482512,0,GUAM DEPARTMENT OF PUBLIC HEALTH AND SOCIAL SERVIC,"Physicians and Surgeons, All Other",PHYSICIAN,Y,130020.8,2012.0,"DEDEDO, NA",144.851121,13.5452512
44,1804529,1,"AGENCYNET INTERACTIVE, INC.",Graphic Designers,GRAPHIC DESIGNER,Y,37190.0,2013.0,"FORT LAUDERDALE, FLORIDA",-80.13731740000001,26.122438600000002
45,2352143,0,LIQUID CHURCH,Clergy,CLERGY,Y,67309.0,2012.0,"MORRISTOWN, NEW JERSEY",-74.4815438,40.7967667
46,165876,1,R S INFOCON INC,COMPUTER SYSTEMS ANALYSTS,PROGRAMMER ANALYST,Y,72280.0,2016.0,"WAUWATOSA, WISCONSIN",-88.0075875,43.049457200000006
47,1086276,1,INFOSYS LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",TEST ANALYST - US,Y,43618.0,2015.0,"HOUSTON, TEXAS",-95.36980279999999,29.7604267
48,2764409,0,HOUSTON AND ASSOCIATES,Market Research Analysts,MARKET RESEARCH ANALYST,Y,40456.0,2011.0,"STATEN ISLAND, NEW YORK",-74.1502007,40.579531700000004
49,1081609,1,MICROSOFT CORPORATION,"COMPUTER OCCUPATIONS, ALL OTHER",PROGRAM MANAGER,Y,54475.0,2015.0,"REDMOND, WASHINGTON",-122.12151200000001,47.6739881
50,2352826,1,"ACCESS THERAPIES, INC.",Physical Therapists,PHYSICAL THERAPIST,Y,51833.6,2012.0,"NEWTOWN, PENNSYLVANIA",-74.9322596,40.228337100000005
51,1113298,0,THE UNIVERSITY OF KANSAS,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY",LECTURER,N,52977.6,2015.0,"LAWRENCE, KANSAS",-95.23525009999999,38.971668900000004
52,1873770,1,POLARIS SOFTWARE LAB (INDIA) LTD.,Computer Programmers,PROGRAMMER ANALYST,Y,53394.0,2013.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
53,2552474,0,SIWOO CORPORATION,Purchasing Managers,PURCHASING MANAGER,Y,34778.0,2012.0,"HARMON, NA",144.8153819,13.507388199999998
54,862890,1,WIPRO LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",TEST ENGINEER LEVEL 2,Y,64314.0,2015.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
55,1525315,1,SWITCHLANE INC.,Computer Programmers,PROGRAMMER ANALYST,Y,50045.0,2014.0,"CHADDS FORD, PENNSYLVANIA",-75.5913178,39.8717773
56,2572706,1,"INPATIENT CARE UNIFIED, INC.","Internists, General",HOSPITALIST,Y,130000.0,2012.0,"AKRON, OHIO",-81.51900529999999,41.081444700000006
57,2474486,0,R.J. REYNOLDS TOBACCO COMPANY,Purchasing Managers,SENIOR BUYER,Y,174570240.0,2012.0,"MEMPHIS, TENNESSEE",-90.0489801,35.1495343
58,1231584,0,"GLOBAL TEACHERS RESEARCH & RESOURCES, INC","SPECIAL EDUCATION TEACHERS, SECONDARY SCHOOL",TEACHER,Y,39620.0,2015.0,"SAVANNAH, GEORGIA",-81.0998342,32.0835407
59,1314445,1,ANA-DATA CONSULTING INC,Computer Systems Analysts,SR. SOFTWARE DEVELOPER,Y,77625.6,2014.0,"JERSEY CITY, NEW JERSEY",-74.0776417,40.7281575
60,1998128,0,UST GLOBAL INC,Human Resources Specialists,SENIOR ASSOCIATE - RECRUITING,Y,41122.0,2013.0,"ALISO VIEJO, CALIFORNIA",-117.72560829999999,33.5676842
61,2716697,0,"SILKROAD SOFTWARE AND SERVICES, INC.",Computer Systems Analysts,BUSINESS SYSTEMS ANALYST,Y,64272.0,2011.0,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
62,434566,1,DALLAS INDEPENDENT SCHOOL DISTRICT,DATABASE ADMINISTRATORS,SENIOR DATABASE ADMINISTRATOR,Y,96408.0,2016.0,"DALLAS, TEXAS",-96.7969879,32.7766642
63,2362840,0,VERIZON DATA SERVICES LLC,"Software Developers, Applications",LEAD SYSTEM CONSULTANT - SYSTEM ANALYSIS AND PROGR,Y,719000.0,2012.0,"IRVING, TEXAS",-96.9488945,32.814017699999994
64,2260310,0,"UBER TECHNOLOGIES, INC.",Operations Research Analysts,OPERATIONS RESEARCH ANALYST,Y,75130.0,2012.0,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
65,557515,1,"HCL AMERICA, INC.",MECHANICAL ENGINEERS,MECHANICAL ENGINEERS - II,N,56389.0,2016.0,"MICHIGAN CITY, INDIANA",-86.89502970000001,41.707539399999995
66,930506,1,"EXEL, INC.",LOGISTICS ANALYSTS,INTEGRATED LOGISTICS DESIGN ANALYST,Y,51480.0,2015.0,"WESTERVILLE, OHIO",-82.9290696,40.126174299999995
67,55199,1,"CITIGROUP TECHNOLOGY, INC.",ACCOUNTANTS AND AUDITORS,FINANCIAL REPORTING ANALYST,N,56410.0,2016.0,"TAMPA, FLORIDA",-82.4571776,27.950575
68,2460767,0,"THE CAVAZOS GROUP, LLC",Electrical Engineers,CUSTOMER SERVICE/QUALITY ENGINEER,Y,57179.2,2012.0,"LANSING, MICHIGAN",-84.55553470000001,42.732535
69,2802990,0,"INTECH SUPPLIERS, LLC",Sales Managers,VICE PRESIDENT OF SALES AND MARKETING,Y,172411.0,2011.0,"SUNRISE, FLORIDA",-80.25659499999999,26.1669711
70,812512,1,"HCL AMERICA, INC.",COMPUTER PROGRAMMERS,PROGRAMMER ANALYST - II,Y,66602.0,2015.0,"KING OF PRUSSIA, PENNSYLVANIA",-75.38355250000001,40.101285600000004
71,2938482,0,"MAMTA HOSPITALITY, INC.",Accountants and Auditors,ACCOUNTANT,Y,51272.0,2011.0,"NEPTUNE, NEW JERSEY",-74.0314165,40.2005472
72,2261359,0,"VENTURA INSURANCE BROKERAGE, INC.",Billing and Posting Clerks,INSURANCE OPERATION/BILLING ASSOCIATE,Y,27289.6,2012.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
73,1545161,1,"CISCO SYSTEMS, INC.","Software Developers, Systems Software",CNG MEMBER TECHNICAL STAFF,Y,110677.0,2014.0,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
74,2191212,1,JAM INC,"Software Developers, Applications",SOFTWARE DEVELOPER,Y,64064.0,2013.0,"NEWARK, DELAWARE",-75.7496572,39.6837226
75,873054,1,UBS SERVICES LLC,CREDIT ANALYSTS,CREDIT ANALYST,Y,62462.0,2015.0,"STAMFORD, CONNECTICUT",-73.53873409999999,41.0534302
76,1844994,1,EXPERIAN SERVICES CORPORATION,Computer Systems Analysts,SYSTEMS ANALYST LEAD,Y,99195.0,2013.0,"COSTA MESA, CALIFORNIA",-117.9186689,33.6411316
77,1860710,0,"RIVERBED TECHNOLOGY, INC.",Administrative Services Managers,INVENTORY MANAGER,Y,83699.0,2013.0,"SUNNYVALE, CALIFORNIA",-122.03634960000001,37.368829999999996
78,855422,1,KPMG LLP,CREDIT ANALYSTS,ASSOCIATE,Y,47216.0,2015.0,"LOS ANGELES, CALIFORNIA",-118.24368490000002,34.0522342
79,2371246,1,"ZEITERA, LLC","Software Developers, Applications",PRINCIPAL SOFTWARE ENGINEER,Y,116360.0,2012.0,"MOUNTAIN VIEW, CALIFORNIA",-122.08385109999999,37.3860517
80,2261286,0,MTM RECOGNITION CORPORATION,Computer Programmers,COMPUTER PROGRAMMER,Y,33072.0,2012.0,"OKLAHOMA CITY, OKLAHOMA",-97.5164276,35.4675602
81,2287136,1,ERNST & YOUNG U.S. LLP,Computer Systems Analysts,ASSURANCE SENIOR MANAGER,Y,103501.0,2012.0,"BOSTON, MASSACHUSETTS",-71.0588801,42.360082500000004
82,1785018,1,SSC DENVER SOUTH MONACO OPERATING COMPANY LLC,Physical Therapists,REHABILITATION PROGRAM MANAGER,Y,73195.0,2014.0,"DENVER, COLORADO",-104.990251,39.739235799999996
83,320660,1,GOOGLE INC.,"SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE ENGINEER,Y,119637.0,2016.0,"MOUNTAIN VIEW, CALIFORNIA",-122.08385109999999,37.3860517
84,2014472,0,"WESTERN DENTAL SERVICES, INC.","Dentists, All Other Specialists",PERIODONTIST,N,91312.0,2013.0,"FAIRFIELD, CALIFORNIA",-122.03996629999999,38.2493581
85,1281195,1,"QUALCOMM ATHEROS, INC.","Electronics Engineers, Except Computer",HARDWARE ENGINEER,Y,82333.0,2014.0,"SANTA CLARA, CALIFORNIA",-121.9552356,37.354107899999995
86,2545637,1,"UNICON INTERNATIONAL, INC.",Management Analysts,BUSINESS ANALYST,Y,59363.0,2012.0,"COLUMBUS, OHIO",-82.9987942,39.9611755
87,2530352,0,"ALEXION GROUP, LLC",Market Research Analysts and Marketing Specialists,MARKETING SPECIALIST,N,44616.0,2012.0,"FLUSHING, NEW YORK",-73.833079,40.767498700000004
88,2717854,0,"COSMOPOLITAN TRAVEL SERVICE, INC.",Accountants and Auditors,ACCOUNTANT,Y,46030.0,2011.0,"LINCOLNWOOD, ILLINOIS",-87.7300594,42.00447570000001
89,1552568,1,"WUNDERLICH SECURITIES, INC.",Personal Financial Advisors,FINANCIAL ADVISOR,Y,38771.0,2014.0,"MEMPHIS, TENNESSEE",-90.0489801,35.1495343
90,2915866,1,FEDEX CORPORATE SERVICES,Computer Systems Analysts,TECHNICAL ADVISOR,Y,82722.0,2011.0,"COLLIERVILLE, TENNESSEE",-89.66452659999999,35.042035999999996
91,1569231,0,"EMERGENCE GROUP ADVISORS, LLC",Budget Analysts,BUDGET ANALYST,Y,61942.0,2014.0,"WASHINGTON, DISTRICT OF COLUMBIA",-77.03687070000001,38.9071923
92,591421,0,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,BIOLOGICAL TECHNICIANS,SENIOR RESEARCH ASSISTANT,N,34403.0,2016.0,"HOUSTON, TEXAS",-95.36980279999999,29.7604267
93,772838,0,VA ST. LOUIS HEALTHCARE SYSTEM,"PHYSICIANS AND SURGEONS, ALL OTHER","PHYSICIAN, NEPHROLOGIST",Y,185682.0,2015.0,"ST. LOUIS, MISSOURI",-90.1994042,38.6270025
94,2095359,0,HENRY FORD HEALTH SYSTEM,"Physicians and Surgeons, All Other",MEDICAL RESIDENT - PATHOLOGY,Y,48952.0,2013.0,"DETROIT, MICHIGAN",-83.0457538,42.331427000000005
95,1192654,1,DALLAS INDEPENDENT SCHOOL DISTRICT,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL",ELEMENTARY BILINGUAL TEACHER,Y,43110.0,2015.0,"DALLAS, TEXAS",-96.7969879,32.7766642
96,2250863,0,INSTITUTO COMERCIAL DE PUERTO RICO,"Vocational Education Teachers, Postsecondary",VOCATIONAL ELECTRONIC AND COMPUTER TEACHER,Y,20737.6,2012.0,"MAYAGUEZ, PUERTO RICO",-67.14515490000001,18.2013452
97,1683715,0,"BIZIT CONSULTANTS, INC.",Computer Systems Analysts,SAP COMPUTER SYSTEMS ANALYST,Y,89045.0,2014.0,"COLUMBIA, MARYLAND",-76.8610462,39.203714399999996
98,1965028,1,THE GOODYEAR TIRE & RUBBER COMPANY,Materials Engineers,ENGINEER SENIOR,Y,89128.0,2013.0,"AKRON, OHIO",-81.51900529999999,41.081444700000006
99,1530021,1,SREE INFOTECH LLC,Database Administrators,DATABASE ADMINISTRATOR,Y,43451.0,2014.0,"FOLSOM, CALIFORNIA",-121.17605829999998,38.6779591
100,2147527,1,INFOSYS LIMITED,"Computer Occupations, All Other",TEST ANALYST - US,Y,47902.0,2013.0,"CHARLOTTE, NORTH CAROLINA",-80.8431267,35.2270869
101,753119,1,WIPRO LIMITED,"COMPUTER OCCUPATIONS, ALL OTHER",TEST ENGINEER LEVEL 2,Y,61194.0,2015.0,"HOUSTON, TEXAS",-95.36980279999999,29.7604267
102,44452,1,TOPRIGHT LLC,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,ANALYST,N,50211.0,2016.0,"ATLANTA, GEORGIA",-84.3879824,33.7489954
103,1823608,0,OLD DOMINION UNIVERSITY,Network and Computer Systems Administrators,INFO TECH SPECIALIST,Y,51397.0,2013.0,"NORFOLK, VIRGINIA",-76.28587259999999,36.8507689
104,2447375,0,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN A,Computer Programmers Non R & D,GENERAL PROGRAMMER ANALYST - INTERMEDIATE,Y,52020.8,2012.0,"SAN ANTONIO, TEXAS",-98.4936282,29.4241219
105,1994668,1,THE UNIVERSITY OF TEXAS AT AUSTIN,"Biological Scientists, All Other",POSTDOCTORAL FELLOW,Y,33946.0,2013.0,"AUSTIN, TEXAS",-97.7430608,30.267153000000004
106,2786765,0,"CIGITAL, INC.",Computer Systems Analysts,SENIOR QUALITY ASSURANCE CONSULTANT,Y,62067.0,2011.0,"DULLES, VIRGINIA",-77.44781929999999,38.9558546
107,2046220,1,INFOSYS LIMITED,Computer Systems Analysts,TECHNOLOGY LEAD - US,Y,79955.2,2013.0,"PLEASANTON, CALIFORNIA",-121.8746789,37.6624312
108,900747,1,NORTH DOME SOLUTIONS,COMPUTER PROGRAMMERS,PROGAMMER ANALYST,Y,55120.0,2015.0,"ASHBURN, VIRGINIA",-77.4874416,39.0437567
109,159900,1,DELOITTE CONSULTING LLP,COMPUTER SYSTEMS ANALYSTS,BUSINESS TECHNOLOGY ANALYST,N,61797.0,2016.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
110,962120,0,"TURBO HOLDINGS, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",MARKETING SOFTWARE DEVELOPER,N,61422.4,2015.0,"SAYREVILLE, NEW JERSEY",-74.360846,40.4594021
111,2868400,0,ALBERT EINSTEIN COLLEGE OF MEDICINE OF YESHIVA UNI,Biochemists and Biophysicists,RESEARCH TECHNICIAN B,Y,40796.91,2011.0,"BRONX, NEW YORK",-73.86482679999999,40.844781899999994
112,2255419,0,"MEDSCRIBE, L.L.C.",Logisticians,ACCOUNT REPRESENTATIVE,Y,52395.0,2012.0,"STERLING, VIRGINIA",-77.4291298,39.006699299999994
113,340613,0,"METLIFE GROUP, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SOFTWARE DEVELOPMENT ENGINEER II,Y,79498.0,2016.0,"CARY, NORTH CAROLINA",-78.78111690000001,35.791540000000005
114,2674744,0,"ROUNDCORNER, INC.",Management Analysts,PRINCIPAL,Y,128856.0,2011.0,"CAMBRIDGE, MASSACHUSETTS",-71.10973349999999,42.373615799999996
115,1194639,0,DELOITTE CONSULTING LLP,ACTUARIES,CONSULTANT,Y,73778.0,2015.0,"NEW YORK, NEW YORK",-74.00594129999999,40.7127837
116,1028046,1,DELOITTE CONSULTING LLP,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",SPECIALIST MASTER,Y,83096.0,2015.0,"NASHVILLE, TENNESSEE",-86.78160159999999,36.1626638
117,2671012,0,DOCTORS RESEARCH GROUP,"Mechanical Engineers, R&D",MECHANICAL ENGINEER,Y,48900.0,2011.0,"SOUTHBURY, CONNECTICUT",-73.2133715,41.4793072
118,934465,1,WHIRLPOOL CORPORATION,MARKETING MANAGERS,GLOBAL LEADER PROGRAM,Y,122450.0,2015.0,"BENTON HARBOR, MICHIGAN",-86.4541894,42.1167065
119,707612,0,"JY & ASSOCIATES, LLP",ACCOUNTANTS AND AUDITORS,ACCOUNTANT,Y,40435.0,2015.0,"MONTGOMERY, ALABAMA",-86.2999689,32.366805199999995
120,2790747,1,USPROBIKES,"Business Operations Specialists, All Other",OPERATIONS SPECIALIST - BUSINESS DEVELOPMENT,Y,39333.0,2011.0,"REDONDO BEACH, CALIFORNIA",-118.3884078,33.8491816
121,64407,1,ERNST &AMP; YOUNG U.S. LLP,ACCOUNTANTS AND AUDITORS,ASSURANCE SENIOR,Y,75566.0,2016.0,"SANTA CLARA, CALIFORNIA",-121.9552356,37.354107899999995
122,2997639,0,PLASTIC JUNGLE INC.,"Software Developers, Applications",SENIOR SOLUTIONS ENGINEER,Y,133078.0,2011.0,"SAN JOSE, CALIFORNIA",-121.88632859999998,37.338208200000004
123,1958372,0,"INTECCON, INC.",Economists,ECONOMIST,Y,43800.0,2013.0,"BOCA RATON, FLORIDA",-80.1289321,26.3683064
124,2714502,0,"FTI TECHNOLOGY, INC.",Database Administrators,UCT DATA ANALYST CONSULTANT,Y,53394.0,2011.0,"WASHINGTON, DISTRICT OF COLUMBIA",-77.03687070000001,38.9071923
125,508963,1,ACCENTURE LLP,"COMPUTER OCCUPATIONS, ALL OTHER",COMPUTER SPECIALIST/TESTING AND QUALITY ANALYST 1,N,55723.0,2016.0,"CHARLOTTE, NORTH CAROLINA",-80.8431267,35.2270869
126,2372365,0,"AMERICAN PAYROLL ADMINISTRATIVE SERVICES, INC.",Insurance Sales Agents,FEDERAL EMPLOYEE BENEFITS SPECIALIST/FINANCIAL PLA,Y,31824.0,2012.0,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
127,1064896,1,THE BROOKLYN HOSPITAL CENTER,"DENTISTS, GENERAL",PROFESSIONAL STAFF - DENTIST,N,99153.6,2015.0,"BROOKLYN, NEW YORK",-73.94415790000001,40.6781784
128,2236600,0,RJ ACQUISITION,Graphic Designers,GRAPHIC DESIGNER,Y,37500.0,2012.0,"ELGIN, ILLINOIS",-88.2825668,42.035408399999994
129,2467404,0,"CHARLOTTE COUNTY HEPATITIS C CLINIC, INC.",Epidemiologists,CHARLOTTE COUNTY HEPATITIS C CLINIC COORDINATOR,Y,41309.0,2012.0,"PORT CHARLOTTE, FLORIDA",-82.09064479999999,26.9761707
130,2680591,0,"STAPLES, INC.",Software Quality Assurance Engineers and Testers,PRINCIPAL QA ANALYST,Y,73507.0,2011.0,"FRAMINGHAM, MASSACHUSETTS",-71.4161565,42.279286
131,2790724,0,"CLICKMAIL MARKETING, INC","Computer Specialists, All Other",COMPUTER SPECIALIST/ WEB DEV,Y,55848.0,2011.0,"SAN MATEO, CALIFORNIA",-122.32552539999999,37.562991700000005
132,440912,1,ALLTECH CONSULTING SERVICES INC.,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,SOFTWARE CONSULTANT III,Y,89523.2,2016.0,"PARSIPPANY, NEW JERSEY",-74.41738769999999,40.865286499999996
133,1364008,1,INFOSYS LIMITED,Computer Systems Analysts,CONSULTANT - US,Y,63107.0,2014.0,"ATLANTA, GEORGIA",-84.3879824,33.7489954
134,1541240,0,THE UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,"Health Specialties Teachers, Postsecondary",ASSISTANT PROFESSOR,Y,65332800.0,2014.0,"MEMPHIS, TENNESSEE",-90.0489801,35.1495343
